-- Стоим у шлагбаума в зоне 3304 --
[ 15.07.22 13:59:04 ] vld: 1, lat: 55.751714, long: 37.756911, crs: 79.70, spd: 0.00
[ 15.07.22 13:59:04 ] vld: 1, lat: 55.751714, long: 37.756911, crs: 79.70, spd: 0.00
[ 15.07.22 13:59:05 ] vld: 1, lat: 55.751715, long: 37.756911, crs: 79.70, spd: 0.00
[ 15.07.22 13:59:05 ] vld: 1, lat: 55.751715, long: 37.756911, crs: 79.70, spd: 0.00
[ 15.07.22 13:59:06 ] vld: 1, lat: 55.751715, long: 37.756911, crs: 79.70, spd: 0.00
[ 15.07.22 13:59:06 ] vld: 1, lat: 55.751715, long: 37.756911, crs: 79.70, spd: 0.00
[ 15.07.22 13:59:07 ] vld: 1, lat: 55.751715, long: 37.756918, crs: 79.90, spd: 2.78
[ 15.07.22 13:59:07 ] vld: 1, lat: 55.751715, long: 37.756918, crs: 79.90, spd: 2.78
[ 15.07.22 13:59:08 ] vld: 1, lat: 55.751716, long: 37.756937, crs: 80.90, spd: 5.74
[ 15.07.22 13:59:08 ] vld: 1, lat: 55.751716, long: 37.756937, crs: 80.90, spd: 5.74
[ 15.07.22 13:59:09 ] vld: 1, lat: 55.751720, long: 37.756965, crs: 77.20, spd: 7.22
[ 15.07.22 13:59:09 ] vld: 1, lat: 55.751720, long: 37.756965, crs: 77.20, spd: 7.22
[ 15.07.22 13:59:10 ] vld: 1, lat: 55.751724, long: 37.756999, crs: 81.70, spd: 8.52
[ 15.07.22 13:59:10 ] vld: 1, lat: 55.751724, long: 37.756999, crs: 81.70, spd: 8.52
[ 15.07.22 13:59:11 ] vld: 1, lat: 55.751729, long: 37.757042, crs: 75.70, spd: 11.48
[ 15.07.22 13:59:11 ] vld: 1, lat: 55.751729, long: 37.757042, crs: 75.70, spd: 11.48
[ 15.07.22 13:59:12 ] vld: 1, lat: 55.751737, long: 37.757094, crs: 76.50, spd: 12.96
[ 15.07.22 13:59:12 ] vld: 1, lat: 55.751737, long: 37.757094, crs: 76.50, spd: 12.96
[ 15.07.22 13:59:13 ] vld: 1, lat: 55.751747, long: 37.757157, crs: 73.90, spd: 15.56
[ 15.07.22 13:59:13 ] vld: 1, lat: 55.751747, long: 37.757157, crs: 73.90, spd: 15.56
[ 15.07.22 13:59:14 ] vld: 1, lat: 55.751759, long: 37.757224, crs: 69.80, spd: 15.56
[ 15.07.22 13:59:14 ] vld: 1, lat: 55.751759, long: 37.757224, crs: 69.80, spd: 15.56
[ 15.07.22 13:59:15 ] vld: 1, lat: 55.751769, long: 37.757291, crs: 76.90, spd: 15.93
