-- Находимся в зоне 3294 (остановились) --
[ 14.07.22 12:50:34 ] vld: 1, lat: 55.751987, long: 37.760324, crs: 75.90, spd: 0.00
[ 14.07.22 12:50:34 ] vld: 1, lat: 55.751985, long: 37.760324, crs: 76.00, spd: 0.00
[ 14.07.22 12:50:35 ] vld: 1, lat: 55.751985, long: 37.760324, crs: 76.00, spd: 0.00
[ 14.07.22 12:50:35 ] vld: 1, lat: 55.751985, long: 37.760324, crs: 75.80, spd: 0.00
[ 14.07.22 12:50:36 ] vld: 1, lat: 55.751985, long: 37.760324, crs: 75.80, spd: 0.00
[ 14.07.22 12:50:36 ] vld: 1, lat: 55.751985, long: 37.760324, crs: 75.90, spd: 0.00
[ 14.07.22 12:50:37 ] vld: 1, lat: 55.751985, long: 37.760324, crs: 75.90, spd: 0.00
[ 14.07.22 12:50:37 ] vld: 1, lat: 55.751985, long: 37.760325, crs: 75.90, spd: 0.00
[ 14.07.22 12:50:38 ] vld: 1, lat: 55.751985, long: 37.760325, crs: 75.90, spd: 0.00
[ 14.07.22 12:50:38 ] vld: 1, lat: 55.751986, long: 37.760332, crs: 75.90, spd: 1.67
[ 14.07.22 12:50:39 ] vld: 1, lat: 55.751986, long: 37.760332, crs: 75.90, spd: 1.67
[ 14.07.22 12:50:39 ] vld: 1, lat: 55.751988, long: 37.760344, crs: 75.90, spd: 2.78
[ 14.07.22 12:50:40 ] vld: 1, lat: 55.751988, long: 37.760344, crs: 75.90, spd: 2.78
[ 14.07.22 12:50:40 ] vld: 1, lat: 55.751990, long: 37.760358, crs: 72.70, spd: 2.78
[ 14.07.22 12:50:41 ] vld: 1, lat: 55.751990, long: 37.760358, crs: 72.70, spd: 2.78
[ 14.07.22 12:50:41 ] vld: 1, lat: 55.751992, long: 37.760374, crs: 72.80, spd: 3.52
[ 14.07.22 12:50:42 ] vld: 1, lat: 55.751992, long: 37.760374, crs: 72.80, spd: 3.52
[ 14.07.22 12:50:42 ] vld: 1, lat: 55.751995, long: 37.760393, crs: 69.30, spd: 4.82
[ 14.07.22 12:50:43 ] vld: 1, lat: 55.751995, long: 37.760393, crs: 69.30, spd: 4.82
[ 14.07.22 12:50:43 ] vld: 1, lat: 55.751999, long: 37.760416, crs: 69.70, spd: 5.19
[ 14.07.22 12:50:44 ] vld: 1, lat: 55.751999, long: 37.760416, crs: 69.70, spd: 5.19
[ 14.07.22 12:50:44 ] vld: 1, lat: 55.752004, long: 37.760439, crs: 70.50, spd: 5.19
[ 14.07.22 12:50:45 ] vld: 1, lat: 55.752004, long: 37.760439, crs: 70.50, spd: 5.19
[ 14.07.22 12:50:45 ] vld: 1, lat: 55.752009, long: 37.760462, crs: 70.00, spd: 5.19
[ 14.07.22 12:50:46 ] vld: 1, lat: 55.752009, long: 37.760462, crs: 70.00, spd: 5.19
[ 14.07.22 12:50:46 ] vld: 1, lat: 55.752013, long: 37.760480, crs: 70.00, spd: 2.96
[ 14.07.22 12:50:47 ] vld: 1, lat: 55.752013, long: 37.760480, crs: 70.00, spd: 2.96
[ 14.07.22 12:50:47 ] vld: 1, lat: 55.752015, long: 37.760493, crs: 70.00, spd: 2.96
[ 14.07.22 12:50:48 ] vld: 1, lat: 55.752015, long: 37.760493, crs: 70.00, spd: 2.96
[ 14.07.22 12:50:48 ] vld: 1, lat: 55.752016, long: 37.760506, crs: 70.00, spd: 3.15
[ 14.07.22 12:50:49 ] vld: 1, lat: 55.752016, long: 37.760506, crs: 70.00, spd: 3.15
[ 14.07.22 12:50:49 ] vld: 1, lat: 55.752016, long: 37.760520, crs: 70.00, spd: 3.52
[ 14.07.22 12:50:50 ] vld: 1, lat: 55.752016, long: 37.760520, crs: 70.00, spd: 3.52
[ 14.07.22 12:50:50 ] vld: 1, lat: 55.752017, long: 37.760536, crs: 90.10, spd: 4.44
[ 14.07.22 12:50:51 ] vld: 1, lat: 55.752017, long: 37.760536, crs: 90.10, spd: 4.44
-- Курс больше 90 град - выход из зоны --
[ 14.07.22 12:50:51 ] vld: 1, lat: 55.752019, long: 37.760558, crs: 79.20, spd: 5.37
-- Курс меньше 90 град - снова попадаем в 3294 --
[ 14.07.22 12:50:52 ] vld: 1, lat: 55.752019, long: 37.760558, crs: 79.20, spd: 5.37
[ 14.07.22 12:50:52 ] vld: 1, lat: 55.752023, long: 37.760585, crs: 73.10, spd: 5.93
[ 14.07.22 12:50:53 ] vld: 1, lat: 55.752023, long: 37.760585, crs: 73.10, spd: 5.93
[ 14.07.22 12:50:53 ] vld: 1, lat: 55.752030, long: 37.760608, crs: 72.70, spd: 4.07
[ 14.07.22 12:50:54 ] vld: 1, lat: 55.752030, long: 37.760608, crs: 72.70, spd: 4.07
[ 14.07.22 12:50:54 ] vld: 1, lat: 55.752038, long: 37.760628, crs: 72.60, spd: 4.63
[ 14.07.22 12:50:55 ] vld: 1, lat: 55.752038, long: 37.760628, crs: 72.60, spd: 4.63
[ 14.07.22 12:50:55 ] vld: 1, lat: 55.752047, long: 37.760650, crs: 72.10, spd: 4.44
