-- Находимся в зоне 3295 (Тормозим) --
[ 14.07.22 12:51:42 ] vld: 1, lat: 55.753034, long: 37.763468, crs: 72.50, spd: 33.34
[ 14.07.22 12:51:43 ] vld: 1, lat: 55.753044, long: 37.763565, crs: 73.60, spd: 24.63
[ 14.07.22 12:51:43 ] vld: 1, lat: 55.753044, long: 37.763565, crs: 73.60, spd: 24.63
[ 14.07.22 12:51:44 ] vld: 1, lat: 55.753057, long: 37.763624, crs: 70.40, spd: 15.56
[ 14.07.22 12:51:44 ] vld: 1, lat: 55.753057, long: 37.763624, crs: 70.40, spd: 15.56
[ 14.07.22 12:51:45 ] vld: 1, lat: 55.753064, long: 37.763663, crs: 70.60, spd: 10.19
[ 14.07.22 12:51:45 ] vld: 1, lat: 55.753064, long: 37.763663, crs: 70.60, spd: 10.19
[ 14.07.22 12:51:46 ] vld: 1, lat: 55.753068, long: 37.763682, crs: 70.60, spd: 5.56
[ 14.07.22 12:51:46 ] vld: 1, lat: 55.753068, long: 37.763682, crs: 70.60, spd: 5.56
[ 14.07.22 12:51:47 ] vld: 1, lat: 55.753071, long: 37.763701, crs: 70.90, spd: 4.44
[ 14.07.22 12:51:47 ] vld: 1, lat: 55.753071, long: 37.763701, crs: 70.90, spd: 4.44
[ 14.07.22 12:51:48 ] vld: 1, lat: 55.753074, long: 37.763716, crs: 71.00, spd: 3.70
[ 14.07.22 12:51:48 ] vld: 1, lat: 55.753074, long: 37.763716, crs: 71.00, spd: 3.70
-- Курс уплывает, скорость < 2км\ч - показания не учитываются --
[ 14.07.22 12:51:49 ] vld: 1, lat: 55.753075, long: 37.763722, crs: 106.60, spd: 1.11
[ 14.07.22 12:51:49 ] vld: 1, lat: 55.753075, long: 37.763722, crs: 106.60, spd: 1.11
[ 14.07.22 12:51:50 ] vld: 1, lat: 55.753077, long: 37.763726, crs: 109.60, spd: 0.00
[ 14.07.22 12:51:50 ] vld: 1, lat: 55.753077, long: 37.763726, crs: 109.60, spd: 0.00
[ 14.07.22 12:51:51 ] vld: 1, lat: 55.753079, long: 37.763730, crs: 109.90, spd: 0.00
[ 14.07.22 12:51:51 ] vld: 1, lat: 55.753079, long: 37.763730, crs: 109.90, spd: 0.00
